# jj_ensembles_claude.txt
# Master manifest of interacting SEA ensembles for JJ current-correlator work.
# Union of LOCAL (barracuda22) and REMOTE (Fermilab, per fermilab_dirs.txt 2026-07-02).
# jj data is to be (re)generated with the LATEST code; "existing_jj" is informational only.
#
# Columns (whitespace-separated; col 1 = ensemble basename; remote ABS paths -> fermilab_dirs.txt):
#   ensemble     directory basename (contains ckpoint_lat.<k>)
#   loc          configs present LOCALLY now? (Y/N)
#   origin       where the HMC was generated: FNAL | local  (FNAL = listed in fermilab_dirs.txt)
#   src_ncfg     total ckpoint_lat configs present (LOCAL count for loc=Y; REMOTE on-disk count for loc=N)
#   kmin kmax    first/last config index on the jj-corr grid  (loc=N rows filled from fermilab_ncfg_claude.txt)
#   intv         jj-corr sampling stride (L1=8, L2/L4=4)
#   ncfg         number of configs on the jj-corr grid (kmin : intv : kmax)
#   existing_jj  on-disk LOCAL jj corr ("-"=none, "ylm:N", "dil:N", "?"=unknown/not local). REMOTE has NO jj corr yet (ensemble-gen only), so loc=N stays "?".
#
# Counts: 52 FNAL+local, 50 FNAL remote-only (loc=N, need pull), 28 local-only (candidates to push).
# NOTE: mIm!=0 (parity) ensembles are OUT of jj scope (NM 2026-07-02: no analysis planned on them);
#   programs assert !parity, and the tilde-D backward leg is NOT needed for this work. Still generated (reference).
# REMOTE-only rows: kmin/kmax/ncfg/src_ncfg FILLED by REMOTE 2026-07-02 from on-disk ckpoint counts
#   (storage is contiguous: kmin=1, stride 1, so kmax=ncfg). Source of truth: companion fermilab_ncfg_claude.txt.
#
# ensemble                                                             loc origin src_ncfg   kmin   kmax  intv   ncfg  existing_jj
  Nf4_gsq8.000000at0.200000nu01.000000nt128L2                          Y   local   521    40  520     4      121  ylm:120
  Nf4_gsq8.000000at0.200000nu01.000000nt128L4                          Y   local   190    40  188     4       38  -
  Nf6_gsq8.000000at0.200000nu01.000000nt128L1                          Y   local  3163    40 3160     8      391  ylm:140
  Nf6_gsq8.000000at0.200000nu01.000000nt128L2                          Y   local   292    40  292     4       64  ylm:63
  Nf6_gsq8.000000at0.200000nu01.000000nt128L4                          Y   local    68    40   68     4        8  -
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.010000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.010000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.010000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L2    Y   FNAL   314    40  312     4       69  ylm:69
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L4    N   FNAL    40    40   56     1       56  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.050000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.050000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.050000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L2    Y   FNAL   286    40  284     4       62  ylm:62
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L4    N   FNAL    40    40   52     1       54  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.100000mIm0.000000nt128L1    Y   FNAL  1643    40 1640     8      201  ylm:140
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.100000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.100000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L2    Y   FNAL   287    40  284     4       62  ylm:62
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L4    N   FNAL    40    40   52     1       54  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.200000mIm0.000000nt128L1    Y   FNAL  1641    40 1640     8      201  ylm:140
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.200000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L2    Y   FNAL   319    40  316     4       70  ylm:70
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L4    N   FNAL    40    40  116     1      119  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.200000mIm0.000000nt128L1    Y   FNAL  1199    40 1192     8      145  ylm:140
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L2    Y   FNAL   315    40  312     4       69  ylm:69
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L4    N   FNAL    40    40   52     1       54  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.422900mIm0.000000nt128L1    N   FNAL    40    40  312     1      319  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.422900mIm0.000000nt128L2    N   FNAL    40    40  316     1      319  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.422900mIm0.000000nt128L4    N   FNAL    40    40  100     1      103  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.845799mIm0.000000nt128L1    N   FNAL    40    40  312     1      319  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.845799mIm0.000000nt128L2    N   FNAL    40    40  316     1      319  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.845799mIm0.000000nt128L4    N   FNAL    40    40  108     1      109  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe1.268699mIm0.000000nt128L1    N   FNAL    40    40  312     1      319  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe1.268699mIm0.000000nt128L2    N   FNAL    40    40  316     1      319  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe1.268699mIm0.000000nt128L4    N   FNAL    40    40  120     1      120  ?
  Nf2_gsq12.000000at0.200000nu01.000000nt128L1                         Y   local   319    40  312     8       35  -
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L2   N   FNAL    40   336  296     2      540  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L4   N   FNAL    40    40   60     1       91  ?
  Nf4_gsq12.000000at0.200000nu01.000000nt128L1                         Y   local   319    40  312     8       35  -
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L2   N   FNAL    40   284  244     2      522  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L4   N   FNAL    40    96   56     2      117  ?
  Nf6_gsq12.000000at0.200000nu01.000000nt128L1                         Y   local   319    40  312     8       35  -
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L2   N   FNAL    40   368  164     3      439  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L4   N   FNAL    40    61   21     2       79  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L2   N   FNAL    40    40   68     1       68  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L2   N   FNAL    40    40   44     1       47  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.010572mIm0.000000nt128L2   N   FNAL     1    30   29     2       31  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L2   N   FNAL    40    40   64     1       67  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L2   N   FNAL    40    40   48     1       48  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.052862mIm0.000000nt128L2   N   FNAL     1    30   29     2       30  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L2   N   FNAL    40    40   64     1       67  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L2   N   FNAL    40    40   48     1       48  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.105725mIm0.000000nt128L2   N   FNAL     1    30   29     2       30  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L2   N   FNAL    40    40   68     1       68  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L2   N   FNAL    40    40   44     1       46  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.211450mIm0.000000nt128L2   N   FNAL     1    30   29     2       31  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.422900mIm0.000000nt128L2   N   FNAL    40    40   64     1       64  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.422900mIm0.000000nt128L2   N   FNAL     1     1   37     1       37  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.422900mIm0.000000nt128L2   N   FNAL     1    18   17     2       19  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe0.845799mIm0.000000nt128L2   N   FNAL    40    40   64     1       64  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe0.845799mIm0.000000nt128L2   N   FNAL     1     1   37     1       37  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe0.845799mIm0.000000nt128L2   N   FNAL     1     1   25     1       25  ?
  Nf2_gsq12.000000at0.200000nu01.000000mRe1.268699mIm0.000000nt128L2   N   FNAL    40    40   64     1       64  ?
  Nf4_gsq12.000000at0.200000nu01.000000mRe1.268699mIm0.000000nt128L2   N   FNAL     1     1   37     1       37  ?
  Nf6_gsq12.000000at0.200000nu01.000000mRe1.268699mIm0.000000nt128L2   N   FNAL     1     1   25     1       25  ?
  Nf2_gsq16.000000at0.200000nu01.000000nt128L1                         Y   local   319    40  312     8       35  -
  Nf2_gsq16.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L2   N   FNAL    40   364  324     2      582  ?
  Nf2_gsq16.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L4   N   FNAL    40   152  112     2      173  ?
  Nf4_gsq16.000000at0.200000nu01.000000nt128L1                         Y   local   319    40  312     8       35  -
  Nf4_gsq16.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L2   N   FNAL    40   528  244     3      535  ?
  Nf4_gsq16.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L4   N   FNAL    40   100   60     2      145  ?
  Nf6_gsq16.000000at0.200000nu01.000000nt128L1                         Y   local   319    40  312     8       35  -
  Nf6_gsq16.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L2   N   FNAL    40   360  160     3      448  ?
  Nf6_gsq16.000000at0.200000nu01.000000mRe0.000000mIm0.000000nt128L4   N   FNAL    40    90   25     3      102  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.010000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.050000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.100000nt128L1    N   FNAL    40  1608    8   197     1609  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.200000nt128L1    N   FNAL    40  1568    8   192     1569  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.002705mIm0.000000nt128L4    N   FNAL    40    40    4     1       42  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.005338mIm0.000000nt128L2    N   FNAL    40   144    4    27      146  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.013524mIm0.000000nt128L4    N   FNAL     1    37    4    10       39  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.026688mIm0.000000nt128L2    N   FNAL    40   148    4    28      151  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.027048mIm0.000000nt128L4    N   FNAL     1    37    4    10       39  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.053375mIm0.000000nt128L2    N   FNAL    40   148    4    28      151  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.054096mIm0.000000nt128L4    N   FNAL    40    40    4     1       42  ?
  Nf2_gsq8.000000at0.200000nu01.000000mRe0.106750mIm0.000000nt128L2    N   FNAL    40   144    4    27      146  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.010000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.050000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.100000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.200000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.002705mIm0.000000nt128L4    N   FNAL     1     1    4     1        4  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.005338mIm0.000000nt128L2    N   FNAL     1    29    4     8       30  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.013524mIm0.000000nt128L4    N   FNAL     1     1    4     1        4  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.026688mIm0.000000nt128L2    N   FNAL    40    40    4     1       42  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.027048mIm0.000000nt128L4    N   FNAL     1     1    4     1        4  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.053375mIm0.000000nt128L2    N   FNAL    40    40    4     1       43  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.054096mIm0.000000nt128L4    N   FNAL     1     5    4     2        5  ?
  Nf4_gsq8.000000at0.200000nu01.000000mRe0.106750mIm0.000000nt128L2    N   FNAL     1    29    4     8       30  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.010000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.050000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.100000nt128L1    N   FNAL    40  1192    8   145     1199  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.000000mIm0.200000nt128L1    N   FNAL    40  1184    8   144     1191  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.002705mIm0.000000nt128L4    N   FNAL     1     1    4     1        3  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.005338mIm0.000000nt128L2    N   FNAL     1     1    4     1        4  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.013524mIm0.000000nt128L4    N   FNAL     1     1    4     1        2  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.026688mIm0.000000nt128L2    N   FNAL     1     1    4     1        4  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.027048mIm0.000000nt128L4    N   FNAL     1     1    4     1        2  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.053375mIm0.000000nt128L2    N   FNAL     1     1    4     1        4  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.054096mIm0.000000nt128L4    N   FNAL     1     1    4     1        3  ?
  Nf6_gsq8.000000at0.200000nu01.000000mRe0.106750mIm0.000000nt128L2    N   FNAL     1     1    4     1        4  ?
